req_id,domain,requirement_text,requirement_type,category,quality_label,is_ambiguous,is_duplicate,duplicate_group,is_testable,ambiguous_terms,word_count,notes
REQ-00022,Online Bookstore,The system shall allow administrators to approve a promotional coupon submitted by a customer.,Functional,workflow,well-formed,0,0,,1,,14,
REQ-00023,Online Bookstore,The system shall maintain an audit log of every change made to a wishlist entry.,Functional,audit,well-formed,0,0,,1,,15,
REQ-00024,Online Bookstore,The system shall allow customers to search for a book by author.,Functional,search,well-formed,0,0,,1,,12,
REQ-00025,Online Bookstore,The system shall allow customers to download a delivery address as a PDF document.,Functional,export,well-formed,0,0,,1,,14,
REQ-00026,Online Bookstore,The system shall allow administrators to archive a catalogue category older than one year.,Functional,archival,well-formed,0,0,,1,,14,
REQ-00027,Online Bookstore,The system shall send an email notification to the customer when a wishlist entry is created.,Functional,notify,well-formed,0,0,,1,,16,
REQ-00028,Online Bookstore,The system shall send an SMS alert to the customer when the status of a shopping cart item changes.,Functional,notify,well-formed,0,0,,1,,19,
REQ-00029,Online Bookstore,The system shall maintain an audit log of every change made to a book review.,Functional,audit,well-formed,0,0,,1,,15,
REQ-00030,Online Bookstore,The system shall allow administrators to view a dashboard summarising catalogue category counts by status.,Functional,report,well-formed,0,0,,1,,15,
REQ-00031,Online Bookstore,The system shall allow administrators to reject a shopping cart item with a mandatory reason.,Functional,workflow,well-formed,0,0,,1,,15,
REQ-00032,Online Bookstore,The system shall prevent a customer from submitting a duplicate gift card.,Functional,validation,well-formed,0,0,,1,,12,
REQ-00033,Online Bookstore,The system shall allow customers to create a new promotional coupon.,Functional,create,well-formed,0,0,,1,,11,
REQ-00034,Online Bookstore,The system shall restrict access to a gift card to the customer who created it.,Functional,authorization,well-formed,0,0,,1,,15,
REQ-00035,Online Bookstore,The system shall allow customers to view the details of a selected gift card.,Functional,read,well-formed,0,0,,1,,14,
REQ-00036,Online Bookstore,The system shall display a paginated list of orders with twenty entries per page.,Functional,read,well-formed,0,0,,1,,14,
REQ-00037,Online Bookstore,The system shall display the current status of each book on the customer dashboard.,Functional,read,well-formed,0,0,,1,,14,
REQ-00038,Online Bookstore,The system shall allow customers to export the list of delivery addresss as a CSV file.,Functional,export,well-formed,0,0,,1,,16,
REQ-00039,Online Bookstore,The system shall allow administrators to generate a monthly report of all gift cards.,Functional,report,well-formed,0,0,,1,,14,
REQ-00040,Online Bookstore,The system shall validate all mandatory fields of a author profile before saving it.,Functional,validation,well-formed,0,0,,1,,14,
REQ-00041,Online Bookstore,The system shall allow administrators to view a dashboard summarising author profile counts by status.,Functional,report,well-formed,0,0,,1,,15,
REQ-00042,Online Bookstore,The system shall allow customers to download a catalogue category as a PDF document.,Functional,export,well-formed,0,0,,1,,14,
REQ-00043,Online Bookstore,The system shall allow administrators to archive a author profile older than one year.,Functional,archival,well-formed,0,0,,1,,14,
REQ-00044,Online Bookstore,The system shall allow administrators to generate a monthly report of all books.,Functional,report,well-formed,0,0,,1,,13,
REQ-00045,Online Bookstore,The system shall allow customers to update an existing wishlist entry.,Functional,update,well-formed,0,0,,1,,11,
REQ-00046,Online Bookstore,The system shall validate all mandatory fields of a book before saving it.,Functional,validation,well-formed,0,0,,1,,13,
REQ-00047,Online Bookstore,The system shall restrict access to a book to the customer who created it.,Functional,authorization,well-formed,0,0,,1,,14,
REQ-00048,Online Bookstore,The system shall send an email notification to the customer when a order is created.,Functional,notify,well-formed,0,0,,1,,15,
REQ-00049,Online Bookstore,The system shall prevent a customer from submitting a duplicate delivery address.,Functional,validation,well-formed,0,0,,1,,12,
REQ-00050,Online Bookstore,The system shall allow customers to add a comment to a book.,Functional,collaboration,well-formed,0,0,,1,,12,
REQ-00051,Online Bookstore,The system shall display a paginated list of delivery addresss with twenty entries per page.,Functional,read,well-formed,0,0,,1,,15,
REQ-00052,Online Bookstore,The system shall allow administrators to archive a wishlist entry older than one year.,Functional,archival,well-formed,0,0,,1,,14,
REQ-00053,Online Bookstore,The system shall allow administrators to generate a monthly report of all delivery addresss.,Functional,report,well-formed,0,0,,1,,14,
REQ-00054,Online Bookstore,The system shall allow administrators to approve a book submitted by a customer.,Functional,workflow,well-formed,0,0,,1,,13,
REQ-00055,Online Bookstore,The system shall record the date and time at which each book is modified.,Functional,audit,well-formed,0,0,,1,,14,
REQ-00056,Online Bookstore,The system shall allow administrators to approve a wishlist entry submitted by a customer.,Functional,workflow,well-formed,0,0,,1,,14,
REQ-00057,Online Bookstore,The system shall prevent a customer from submitting a duplicate author profile.,Functional,validation,well-formed,0,0,,1,,12,
REQ-00058,Online Bookstore,The system shall prevent a customer from submitting a duplicate wishlist entry.,Functional,validation,well-formed,0,0,,1,,12,
REQ-00059,Online Bookstore,The system shall display the current status of each delivery address on the customer dashboard.,Functional,read,well-formed,0,0,,1,,15,
REQ-00060,Online Bookstore,The system shall allow customers to search for a promotional coupon by author.,Functional,search,well-formed,0,0,,1,,13,
REQ-00061,Online Bookstore,The system shall allow customers to view the details of a selected shopping cart item.,Functional,read,well-formed,0,0,,1,,15,
REQ-00062,Online Bookstore,The system shall allow customers to update an existing shopping cart item.,Functional,update,well-formed,0,0,,1,,12,
REQ-00063,Online Bookstore,The system shall allow customers to save a catalogue category for later use.,Functional,duplicate-pair,well-formed,0,0,ONL-DUP-1,1,,13,original of a near-duplicate pair
REQ-00064,Online Bookstore,The system shall allow customers to bookmark a catalogue category for future reference.,Functional,duplicate-pair,duplicate,0,1,ONL-DUP-1,0,,13,restates the requirement above
REQ-00065,Online Bookstore,The system shall allow customers to cancel a delivery address before it is processed.,Functional,duplicate-pair,well-formed,0,0,ONL-DUP-2,1,,14,original of a near-duplicate pair
REQ-00066,Online Bookstore,The system shall allow customers to withdraw a delivery address prior to processing.,Functional,duplicate-pair,duplicate,0,1,ONL-DUP-2,0,,13,restates the requirement above
REQ-00067,Online Bookstore,The system shall allow customers to search for a book by ISBN.,Functional,duplicate-pair,well-formed,0,0,ONL-DUP-3,1,,12,original of a near-duplicate pair
REQ-00068,Online Bookstore,The system shall provide a search facility that locates a book using ISBN.,Functional,duplicate-pair,duplicate,0,1,ONL-DUP-3,0,,13,restates the requirement above
REQ-00069,Online Bookstore,The system shall send a confirmation message once a shopping cart item is submitted.,Functional,duplicate-pair,well-formed,0,0,ONL-DUP-4,1,,14,original of a near-duplicate pair
REQ-00070,Online Bookstore,The system shall notify the customer after a shopping cart item has been submitted successfully.,Functional,duplicate-pair,duplicate,0,1,ONL-DUP-4,0,,15,restates the requirement above
REQ-00071,Online Bookstore,The system shall allow administrators to remove a author profile from the system.,Functional,duplicate-pair,well-formed,0,0,ONL-DUP-5,1,,13,original of a near-duplicate pair
REQ-00072,Online Bookstore,The system shall allow administrators to delete an existing author profile record.,Functional,duplicate-pair,duplicate,0,1,ONL-DUP-5,0,,12,restates the requirement above
REQ-00073,Online Bookstore,The system shall allow customers to rate a completed order from one to five stars.,Functional,duplicate-pair,well-formed,0,0,ONL-DUP-6,1,,15,original of a near-duplicate pair
REQ-00074,Online Bookstore,The system shall allow customers to give a star rating between one and five for a finished order.,Functional,duplicate-pair,duplicate,0,1,ONL-DUP-6,0,,18,restates the requirement above
REQ-00075,Online Bookstore,The system shall handle shopping cart items appropriately.,Functional,under-specified,ambiguous,1,0,,0,appropriate|appropriately,8,
REQ-00076,Online Bookstore,The system shall manage catalogue categorys in an efficient manner.,Functional,under-specified,ambiguous,1,0,,0,efficient,10,
REQ-00077,Online Bookstore,The system shall process a order as quickly as possible.,Functional,under-specified,ambiguous,1,0,,0,as quickly as possible|quickly,10,
REQ-00078,Online Bookstore,The system should support various operations on promotional coupons as needed.,Functional,under-specified,ambiguous,1,0,,0,as needed|various,11,
REQ-00079,Online Bookstore,The system shall provide adequate options for managing gift cards.,Functional,under-specified,ambiguous,1,0,,0,adequate,10,
REQ-00080,Online Bookstore,The system shall display suitable information about each author profile.,Functional,under-specified,ambiguous,1,0,,0,suitable,10,
REQ-00081,Online Bookstore,The system shall deal with invalid author profile data properly.,Functional,under-specified,ambiguous,1,0,,0,properly,10,
REQ-00082,Online Bookstore,The system shall support most of the common actions on a author profile.,Functional,under-specified,ambiguous,1,0,,0,common|most,13,
REQ-00083,Online Bookstore,The system shall provide appropriate error messages when something goes wrong with a catalogue category.,Functional,under-specified,ambiguous,1,0,,0,appropriate|something goes wrong,15,
REQ-00084,Online Bookstore,The system shall be able to work with a reasonable number of gift cards.,Functional,under-specified,ambiguous,1,0,,0,reasonable,14,
REQ-00085,Online Bookstore,The system shall process at least 200 order submissions per minute at peak load.,Non-Functional,Performance,well-formed,0,0,,1,,14,
REQ-00086,Online Bookstore,The system shall display any gift card search result within 2 seconds for 95 percent of requests.,Non-Functional,Performance,well-formed,0,0,,1,,17,
REQ-00087,Online Bookstore,The system shall run on Android 10 and above and iOS 15 and above.,Non-Functional,Portability,well-formed,0,0,,1,,14,
REQ-00088,Online Bookstore,"The system shall support the Chrome, Firefox, Edge, and Safari browsers in their two most recent major versions.",Non-Functional,Portability,well-formed,0,0,,1,most,18,
REQ-00089,Online Bookstore,The system shall mask all but the last four digits of any stored card number.,Non-Functional,Security,well-formed,0,0,,1,,15,
REQ-00090,Online Bookstore,The system shall conform to WCAG 2.1 Level AA accessibility guidelines.,Non-Functional,Usability,well-formed,0,0,,1,,11,
REQ-00091,Online Bookstore,The system shall allow a new customer to complete a order within 3 minutes without external assistance.,Non-Functional,Usability,well-formed,0,0,,1,,17,
REQ-00092,Online Bookstore,"The system shall be available 99.9 percent of the time measured monthly, excluding scheduled maintenance.",Non-Functional,Availability,well-formed,0,0,,1,,15,
REQ-00093,Online Bookstore,The system shall transmit all data over TLS 1.3 or higher.,Non-Functional,Security,well-formed,0,0,,1,,11,
REQ-00094,Online Bookstore,The system shall restore service within 30 minutes of a database failure using the latest hourly backup.,Non-Functional,Reliability,well-formed,0,0,,1,,17,
REQ-00095,Online Bookstore,The system should be user-friendly and easy to use for all customers.,Non-Functional,Usability,ambiguous,1,0,,0,easy|user-friendly,12,
REQ-00096,Online Bookstore,The system shall be fast and responsive under normal conditions.,Non-Functional,Performance,ambiguous,1,0,,0,fast|normal conditions,10,
REQ-00097,Online Bookstore,The system shall handle a reasonably large number of users efficiently.,Non-Functional,Scalability,ambiguous,1,0,,0,efficient|efficiently|reasonably,11,
REQ-00098,Online Bookstore,The system shall support a flexible and scalable architecture as needed.,Non-Functional,Scalability,ambiguous,1,0,,0,as needed|flexible,11,
REQ-00099,Online Bookstore,The system shall be secure and protect customer data appropriately.,Non-Functional,Security,ambiguous,1,0,,0,appropriate|appropriately,10,
REQ-00100,Online Bookstore,The system shall be highly reliable at all times.,Non-Functional,Reliability,ambiguous,1,0,,0,all times|highly,9,
REQ-00101,Food Delivery,The system shall validate all mandatory fields of a menu item before saving it.,Functional,validation,well-formed,0,0,,1,,14,
REQ-00102,Food Delivery,The system shall allow customers to export the list of favourite restaurants as a CSV file.,Functional,export,well-formed,0,0,,1,,16,
REQ-00103,Food Delivery,The system shall allow customers to search for a food order by cuisine.,Functional,search,well-formed,0,0,,1,,13,
REQ-00104,Food Delivery,The system shall validate all mandatory fields of a cart item before saving it.,Functional,validation,well-formed,0,0,,1,,14,
REQ-00105,Food Delivery,The system shall allow customers to attach a supporting document to a cart item.,Functional,attachment,well-formed,0,0,,1,,14,
REQ-00106,Food Delivery,The system shall record the date and time at which each delivery agent record is modified.,Functional,audit,well-formed,0,0,,1,,16,
REQ-00107,Food Delivery,The system shall maintain an audit log of every change made to a saved address.,Functional,audit,well-formed,0,0,,1,,15,
REQ-00108,Food Delivery,The system shall allow administrators to archive a payment method older than one year.,Functional,archival,well-formed,0,0,,1,,14,
REQ-00109,Food Delivery,The system shall restrict access to a saved address to the customer who created it.,Functional,authorization,well-formed,0,0,,1,,15,
REQ-00110,Food Delivery,The system shall allow customers to sort the list of cart items by date of creation.,Functional,search,well-formed,0,0,,1,,16,
REQ-00111,Food Delivery,The system shall allow customers to view the details of a selected restaurant.,Functional,read,well-formed,0,0,,1,,13,
REQ-00112,Food Delivery,The system shall allow administrators to archive a discount offer older than one year.,Functional,archival,well-formed,0,0,,1,,14,
REQ-00113,Food Delivery,The system shall allow customers to add a comment to a cart item.,Functional,collaboration,well-formed,0,0,,1,,13,
REQ-00114,Food Delivery,The system shall maintain an audit log of every change made to a order review.,Functional,audit,well-formed,0,0,,1,,15,
REQ-00115,Food Delivery,The system shall allow customers to delete a cart item that is no longer required.,Functional,delete,well-formed,0,0,,1,,15,
REQ-00116,Food Delivery,The system shall allow administrators to view a dashboard summarising menu item counts by status.,Functional,report,well-formed,0,0,,1,,15,
REQ-00117,Food Delivery,The system shall allow customers to sort the list of discount offers by date of creation.,Functional,search,well-formed,0,0,,1,,16,
REQ-00118,Food Delivery,The system shall send an email notification to the customer when a menu item is created.,Functional,notify,well-formed,0,0,,1,,16,
REQ-00119,Food Delivery,The system shall allow administrators to approve a payment method submitted by a customer.,Functional,workflow,well-formed,0,0,,1,,14,
REQ-00120,Food Delivery,The system shall maintain an audit log of every change made to a restaurant.,Functional,audit,well-formed,0,0,,1,,14,
REQ-00121,Food Delivery,The system shall allow customers to export the list of food orders as a CSV file.,Functional,export,well-formed,0,0,,1,,16,
REQ-00122,Food Delivery,The system shall send an email notification to the customer when a cart item is created.,Functional,notify,well-formed,0,0,,1,,16,
REQ-00123,Food Delivery,The system shall display the current status of each payment method on the customer dashboard.,Functional,read,well-formed,0,0,,1,,15,
REQ-00124,Food Delivery,The system shall allow customers to update an existing discount offer.,Functional,update,well-formed,0,0,,1,,11,
REQ-00125,Food Delivery,The system shall allow customers to add a comment to a discount offer.,Functional,collaboration,well-formed,0,0,,1,,13,
REQ-00126,Food Delivery,The system shall allow administrators to archive a food order older than one year.,Functional,archival,well-formed,0,0,,1,,14,
REQ-00127,Food Delivery,The system shall allow customers to view the details of a selected delivery agent record.,Functional,read,well-formed,0,0,,1,,15,
REQ-00128,Food Delivery,The system shall allow customers to export the list of discount offers as a CSV file.,Functional,export,well-formed,0,0,,1,,16,
REQ-00129,Food Delivery,The system shall send an SMS alert to the customer when the status of a saved address changes.,Functional,notify,well-formed,0,0,,1,,18,
REQ-00130,Food Delivery,The system shall allow customers to download a restaurant as a PDF document.,Functional,export,well-formed,0,0,,1,,13,
REQ-00131,Food Delivery,The system shall allow administrators to generate a monthly report of all cart items.,Functional,report,well-formed,0,0,,1,,14,
REQ-00132,Food Delivery,The system shall allow administrators to view a dashboard summarising food order counts by status.,Functional,report,well-formed,0,0,,1,,15,
REQ-00133,Food Delivery,The system shall allow administrators to approve a food order submitted by a customer.,Functional,workflow,well-formed,0,0,,1,,14,
REQ-00134,Food Delivery,The system shall allow administrators to approve a order review submitted by a customer.,Functional,workflow,well-formed,0,0,,1,,14,
REQ-00135,Food Delivery,The system shall allow administrators to archive a order review older than one year.,Functional,archival,well-formed,0,0,,1,,14,
REQ-00136,Food Delivery,The system shall allow customers to update an existing saved address.,Functional,update,well-formed,0,0,,1,,11,
REQ-00137,Food Delivery,The system shall display the current status of each food order on the customer dashboard.,Functional,read,well-formed,0,0,,1,,15,
REQ-00138,Food Delivery,The system shall allow customers to export the list of delivery agent records as a CSV file.,Functional,export,well-formed,0,0,,1,,17,
REQ-00139,Food Delivery,The system shall allow customers to delete a restaurant that is no longer required.,Functional,delete,well-formed,0,0,,1,,14,
REQ-00140,Food Delivery,The system shall allow customers to add a comment to a food order.,Functional,collaboration,well-formed,0,0,,1,,13,
REQ-00141,Food Delivery,The system shall restrict access to a restaurant to the customer who created it.,Functional,authorization,well-formed,0,0,,1,,14,
REQ-00142,Food Delivery,The system shall allow administrators to view a dashboard summarising delivery agent record counts by status.,Functional,report,well-formed,0,0,,1,,16,
REQ-00143,Food Delivery,The system shall validate all mandatory fields of a saved address before saving it.,Functional,validation,well-formed,0,0,,1,,14,
REQ-00144,Food Delivery,The system shall allow customers to delete a menu item that is no longer required.,Functional,delete,well-formed,0,0,,1,,15,
REQ-00145,Food Delivery,The system shall allow customers to view the details of a selected saved address.,Functional,read,well-formed,0,0,,1,,14,
REQ-00146,Food Delivery,The system shall send an email notification to the customer when a restaurant is created.,Functional,notify,well-formed,0,0,,1,,15,
REQ-00147,Food Delivery,The system shall allow customers to filter the list of discount offers by status.,Functional,search,well-formed,0,0,,1,,14,
REQ-00148,Food Delivery,The system shall allow customers to filter the list of menu items by status.,Functional,search,well-formed,0,0,,1,,14,
REQ-00149,Food Delivery,The system shall allow customers to export the list of restaurants as a CSV file.,Functional,export,well-formed,0,0,,1,,15,
REQ-00150,Food Delivery,The system shall allow administrators to reject a favourite restaurant with a mandatory reason.,Functional,workflow,well-formed,0,0,,1,,14,
REQ-00151,Food Delivery,The system shall display a paginated list of cart items with twenty entries per page.,Functional,read,well-formed,0,0,,1,,15,
REQ-00152,Food Delivery,The system shall allow customers to export the list of payment methods as a CSV file.,Functional,export,well-formed,0,0,,1,,16,
REQ-00153,Food Delivery,The system shall send an SMS alert to the customer when the status of a payment method changes.,Functional,notify,well-formed,0,0,,1,,18,
REQ-00154,Food Delivery,The system shall allow customers to export the list of order reviews as a CSV file.,Functional,export,well-formed,0,0,,1,,16,
REQ-00155,Food Delivery,The system shall allow customers to export the list of saved addresss as a CSV file.,Functional,export,well-formed,0,0,,1,,16,
REQ-00156,Food Delivery,The system shall allow administrators to view a dashboard summarising restaurant counts by status.,Functional,report,well-formed,0,0,,1,,14,
REQ-00157,Food Delivery,The system shall allow customers to sort the list of saved addresss by date of creation.,Functional,search,well-formed,0,0,,1,,16,
REQ-00158,Food Delivery,The system shall send an email notification to the customer when a discount offer is created.,Functional,notify,well-formed,0,0,,1,,16,
REQ-00159,Food Delivery,The system shall allow administrators to generate a monthly report of all order reviews.,Functional,report,well-formed,0,0,,1,,14,
REQ-00160,Food Delivery,The system shall allow administrators to approve a restaurant submitted by a customer.,Functional,workflow,well-formed,0,0,,1,,13,
REQ-00161,Food Delivery,The system shall allow customers to create a new delivery agent record.,Functional,create,well-formed,0,0,,1,,12,
REQ-00162,Food Delivery,The system shall allow customers to update an existing payment method.,Functional,update,well-formed,0,0,,1,,11,
REQ-00163,Food Delivery,The system shall allow customers to save a discount offer for later use.,Functional,duplicate-pair,well-formed,0,0,FOO-DUP-1,1,,13,original of a near-duplicate pair
REQ-00164,Food Delivery,The system shall allow customers to bookmark a discount offer for future reference.,Functional,duplicate-pair,duplicate,0,1,FOO-DUP-1,0,,13,restates the requirement above
REQ-00165,Food Delivery,The system shall allow customers to cancel a payment method before it is processed.,Functional,duplicate-pair,well-formed,0,0,FOO-DUP-2,1,,14,original of a near-duplicate pair
REQ-00166,Food Delivery,The system shall allow customers to withdraw a payment method prior to processing.,Functional,duplicate-pair,duplicate,0,1,FOO-DUP-2,0,,13,restates the requirement above
REQ-00167,Food Delivery,The system shall allow customers to search for a menu item by location.,Functional,duplicate-pair,well-formed,0,0,FOO-DUP-3,1,,13,original of a near-duplicate pair
REQ-00168,Food Delivery,The system shall provide a search facility that locates a menu item using location.,Functional,duplicate-pair,duplicate,0,1,FOO-DUP-3,0,,14,restates the requirement above
REQ-00169,Food Delivery,The system shall send a confirmation message once a payment method is submitted.,Functional,duplicate-pair,well-formed,0,0,FOO-DUP-4,1,,13,original of a near-duplicate pair
REQ-00170,Food Delivery,The system shall notify the customer after a payment method has been submitted successfully.,Functional,duplicate-pair,duplicate,0,1,FOO-DUP-4,0,,14,restates the requirement above
REQ-00171,Food Delivery,The system shall allow administrators to remove a menu item from the system.,Functional,duplicate-pair,well-formed,0,0,FOO-DUP-5,1,,13,original of a near-duplicate pair
REQ-00172,Food Delivery,The system shall allow administrators to delete an existing menu item record.,Functional,duplicate-pair,duplicate,0,1,FOO-DUP-5,0,,12,restates the requirement above
REQ-00173,Food Delivery,The system shall handle saved addresss appropriately.,Functional,under-specified,ambiguous,1,0,,0,appropriate|appropriately,7,
REQ-00174,Food Delivery,The system shall manage food orders in an efficient manner.,Functional,under-specified,ambiguous,1,0,,0,efficient,10,
REQ-00175,Food Delivery,The system shall process a order review as quickly as possible.,Functional,under-specified,ambiguous,1,0,,0,as quickly as possible|quickly,11,
REQ-00176,Food Delivery,The system should support various operations on favourite restaurants as needed.,Functional,under-specified,ambiguous,1,0,,0,as needed|various,11,
REQ-00177,Food Delivery,The system shall provide adequate options for managing delivery agent records.,Functional,under-specified,ambiguous,1,0,,0,adequate,11,
REQ-00178,Food Delivery,The system shall display suitable information about each order review.,Functional,under-specified,ambiguous,1,0,,0,suitable,10,
REQ-00179,Food Delivery,The system shall deal with invalid payment method data properly.,Functional,under-specified,ambiguous,1,0,,0,properly,10,
REQ-00180,Food Delivery,The system shall support most of the common actions on a delivery agent record.,Functional,under-specified,ambiguous,1,0,,0,common|most,14,
REQ-00181,Food Delivery,The system shall provide appropriate error messages when something goes wrong with a saved address.,Functional,under-specified,ambiguous,1,0,,0,appropriate|something goes wrong,15,
REQ-00182,Food Delivery,The system shall be able to work with a reasonable number of restaurants.,Functional,under-specified,ambiguous,1,0,,0,reasonable,13,
REQ-00183,Food Delivery,The system shall allow customers to do the usual things with their favourite restaurants.,Functional,under-specified,ambiguous,1,0,,0,usual,14,
REQ-00184,Food Delivery,The system shall handle order review errors and other similar issues.,Functional,under-specified,ambiguous,1,0,,0,other similar issues,11,
REQ-00185,Food Delivery,"The system shall support 5,000 concurrent users without response times exceeding 3 seconds.",Non-Functional,Scalability,well-formed,0,0,,1,,13,
REQ-00186,Food Delivery,The system shall take an automated backup of the favourite restaurant database every 6 hours.,Non-Functional,Reliability,well-formed,0,0,,1,,15,
REQ-00187,Food Delivery,The system shall recover and resume an interrupted order submission within 10 seconds of reconnection.,Non-Functional,Reliability,well-formed,0,0,,1,,15,
REQ-00188,Food Delivery,The system shall store all user passwords using the bcrypt hashing algorithm with a work factor of at least 12.,Non-Functional,Security,well-formed,0,0,,1,,20,
REQ-00189,Food Delivery,The system shall allow a customer to download all personal data held about them within 48 hours of request.,Non-Functional,Compliance,well-formed,0,0,,1,,19,
REQ-00190,Food Delivery,The system shall log every administrative action with user ID and timestamp and retain the log for 12 months.,Non-Functional,Security,well-formed,0,0,,1,,19,
REQ-00191,Food Delivery,The source code shall maintain a unit test coverage of at least 80 percent.,Non-Functional,Maintainability,well-formed,0,0,,1,,14,
REQ-00192,Food Delivery,The system shall expose all order review operations through a documented REST API.,Non-Functional,Interoperability,well-formed,0,0,,1,,13,
REQ-00193,Food Delivery,The system shall display any favourite restaurant search result within 2 seconds for 95 percent of requests.,Non-Functional,Performance,well-formed,0,0,,1,,17,
REQ-00194,Food Delivery,The system shall retain menu item records for 7 years before permanent deletion.,Non-Functional,Compliance,well-formed,0,0,,1,,13,
REQ-00195,Food Delivery,The system shall be maintainable and easy to modify in the future.,Non-Functional,Maintainability,ambiguous,1,0,,0,easy,12,
REQ-00196,Food Delivery,The system shall have a modern and attractive user interface.,Non-Functional,Usability,ambiguous,1,0,,0,attractive|modern,10,
REQ-00197,Food Delivery,The system shall minimise downtime as far as possible.,Non-Functional,Availability,ambiguous,1,0,,0,as far as possible,9,
REQ-00198,Food Delivery,The system shall use industry standard security practices.,Non-Functional,Security,ambiguous,1,0,,0,industry standard,8,
REQ-00199,Food Delivery,The system shall work well on most devices.,Non-Functional,Portability,ambiguous,1,0,,0,most|work well,8,
REQ-00200,Food Delivery,The system shall load menu item pages quickly.,Non-Functional,Performance,ambiguous,1,0,,0,quickly,8,
REQ-00201,Hospital Management,The system shall allow hospital administrators to assign roles and permissions to a user account.,Functional,authorization,well-formed,0,0,,1,,15,
REQ-00202,Hospital Management,The system shall allow patients to pay for a appointment using a credit or debit card.,Functional,payment,well-formed,0,0,,1,,16,
REQ-00203,Hospital Management,The system shall allow patients to pay for a appointment using a UPI transaction.,Functional,payment,well-formed,0,0,,1,,14,
REQ-00204,Hospital Management,The system shall generate a printable invoice for every completed appointment.,Functional,payment,well-formed,0,0,,1,,11,
REQ-00205,Hospital Management,The system shall allow patients to request a refund for a cancelled appointment.,Functional,payment,well-formed,0,0,,1,,13,
REQ-00206,Hospital Management,The system shall allow hospital administrators to apply a discount to a appointment before payment.,Functional,payment,well-formed,0,0,,1,,15,
REQ-00207,Hospital Management,The system shall allow patients to view the payment history of all past appointments.,Functional,payment,well-formed,0,0,,1,,14,
REQ-00208,Hospital Management,The system shall mark a appointment as failed if the payment gateway returns an error.,Functional,payment,well-formed,0,0,,1,,15,
REQ-00209,Hospital Management,The system shall allow hospital administrators to generate a monthly report of all discharge summarys.,Functional,report,well-formed,0,0,,1,,15,
REQ-00210,Hospital Management,The system shall allow patients to download a prescription as a PDF document.,Functional,export,well-formed,0,0,,1,,13,
REQ-00211,Hospital Management,The system shall allow patients to export the list of vaccination records as a CSV file.,Functional,export,well-formed,0,0,,1,,16,
REQ-00212,Hospital Management,The system shall send an SMS alert to the patient when the status of a lab report changes.,Functional,notify,well-formed,0,0,,1,,18,
REQ-00213,Hospital Management,The system shall display a paginated list of doctor profiles with twenty entries per page.,Functional,read,well-formed,0,0,,1,,15,
